Count Sec mSec ID Len SrcPort DestPort Flags
141 1607293080 219398 24929 52 443 54598 16
142 1607293080 220459 24930 2852 443 54598 16
143 1607293080 221618 24932 2852 443 54598 16
144 1607293080 221644 24934 2852 443 54598 16
145 1607293080 221712 24936 2852 443 54598 16
146 1607293080 222415 24938 2852 443 54598 16
147 1607293080 222434 24940 2852 443 54598 16
148 1607293080 222444 24942 2852 443 54598 16
149 1607293080 222695 24944 2852 443 54598 16
150 1607293080 222951 24946 1452 443 54598 16
151 1607293080 223206 24947 4252 443 54598 16
152 1607293080 223455 24950 2852 443 54598 16
153 1607293080 223702 24952 2852 443 54598 16
154 1607293080 223954 24954 2852 443 54598 16
155 1607293080 224206 24956 2852 443 54598 16
156 1607293080 224455 24958 1452 443 54598 16
157 1607293080 224468 24959 1452 443 54598 16
158 1607293080 224710 24960 2852 443 54598 16
159 1607293080 224954 24962 2852 443 54598 16
160 1607293080 225205 24964 2852 443 54598 16
161 1607293080 225454 24966 3136 443 54598 24
162 1607293080 233972 22528 2852 443 43012 16
163 1607293080 234211 22530 1348 443 43012 24
164 1607293080 234226 22527 52 443 43012 16
165 1607293080 234283 22531 82 443 43012 24
166 1607293080 239097 20484 52 443 37490 16
167 1607293080 240460 20485 2852 443 37490 16
168 1607293080 240533 20487 1348 443 37490 24
169 1607293080 240549 20488 82 443 37490 24
170 1607293080 275202 22532 363 443 43012 24
171 1607293080 275242 22533 456 443 43012 24
172 1607293080 294523 22534 456 443 43012 24
173 1607293080 318432 0 60 443 50528 18
174 1607293080 318688 0 60 443 36136 18
175 1607293080 320994 0 60 443 45288 18
176 1607293080 328249 24969 2852 443 54598 16
177 1607293080 328457 24971 2852 443 54598 16
178 1607293080 328731 24973 4252 443 54598 16
179 1607293080 328959 24976 2852 443 54598 16
180 1607293080 329208 24978 2852 443 54598 16
181 1607293080 329664 24980 1058 443 54598 24
182 1607293080 329695 24981 4252 443 54598 16
183 1607293080 329968 24984 2852 443 54598 16
184 1607293080 330271 24986 4252 443 54598 16
185 1607293080 330451 24989 1452 443 54598 16
186 1607293080 330923 24990 3858 443 54598 24
187 1607293080 331011 24993 2852 443 54598 16
188 1607293080 331245 24995 2852 443 54598 16
189 1607293080 331478 24997 2852 443 54598 16
190 1607293080 331789 24999 2852 443 54598 16
191 1607293080 335738 0 60 443 57792 18
192 1607293080 335879 25001 44852 443 54598 16
193 1607293080 335897 25033 1452 443 54598 16
194 1607293080 335962 25034 2852 443 54598 16
195 1607293080 336214 25036 2852 443 54598 16
196 1607293080 336457 25038 4252 443 54598 16
197 1607293080 336719 25041 2852 443 54598 16
198 1607293080 337001 25043 2852 443 54598 16
199 1607293080 337213 25045 2852 443 54598 16
200 1607293080 337454 25047 2852 443 54598 16
201 1607293080 337707 25049 2852 443 54598 16
202 1607293080 337953 25051 2852 443 54598 16
203 1607293080 338255 25053 4252 443 54598 16
204 1607293080 338453 25056 1452 443 54598 16
205 1607293080 338714 25057 2852 443 54598 16
206 1607293080 338963 25059 2852 443 54598 16
207 1607293080 339282 25061 4252 443 54598 16
208 1607293080 339455 25064 1452 443 54598 16
209 1607293080 339709 25065 2852 443 54598 16
210 1607293080 339973 25067 4252 443 54598 16
211 1607293080 340206 25070 2852 443 54598 16
212 1607293080 340459 25072 2852 443 54598 16
213 1607293080 340718 25074 2852 443 54598 16
214 1607293080 340960 25076 2852 443 54598 16
215 1607293080 341216 25078 2852 443 54598 16
216 1607293080 341463 25080 2852 443 54598 16
217 1607293080 341712 20489 363 443 37490 24
218 1607293080 341741 20490 425 443 37490 24
219 1607293080 341753 25082 2852 443 54598 16
220 1607293080 341960 25084 2852 443 54598 16
221 1607293080 343207 25086 2852 443 54598 16
222 1607293080 343241 25088 52 443 54598 16
223 1607293080 343250 25089 2852 443 54598 16
224 1607293080 343257 25091 2852 443 54598 16
225 1607293080 343266 25093 2852 443 54598 16
226 1607293080 343274 25095 2852 443 54598 16
227 1607293080 343456 25097 2852 443 54598 16
228 1607293080 343707 25099 2852 443 54598 16
229 1607293080 343967 25101 2852 443 54598 16
230 1607293080 343980 25103 52 443 54598 16
231 1607293080 344022 25104 1452 443 54598 16
232 1607293080 344203 25105 1452 443 54598 16
233 1607293080 344468 25106 4252 443 54598 16
234 1607293080 344709 0 60 443 32984 18
235 1607293080 344746 25109 2852 443 54598 16
236 1607293080 344968 25111 2852 443 54598 16
237 1607293080 345210 25113 2852 443 54598 16
238 1607293080 345456 25115 2852 443 54598 16
239 1607293080 345708 25117 2852 443 54598 16
240 1607293080 345963 25119 2852 443 54598 16
241 1607293080 346234 25121 2852 443 54598 16
242 1607293080 346457 25123 2852 443 54598 16
243 1607293080 346714 25125 2852 443 54598 16
244 1607293080 346959 0 60 443 59654 18
245 1607293080 346999 25127 4252 443 54598 16
246 1607293080 347213 25130 1452 443 54598 16
247 1607293080 347465 25131 4252 443 54598 16
248 1607293080 347715 25134 2852 443 54598 16
249 1607293080 347974 25136 3148 443 54598 24
250 1607293080 348212 25139 1808 443 54598 24
251 1607293080 351323 25141 52 443 54598 16
252 1607293080 351378 25142 207 443 54598 24
253 1607293080 351801 25143 1452 443 54598 16
254 1607293080 352040 25144 2852 443 54598 16
255 1607293080 352281 25146 3116 443 54598 24
256 1607293080 352808 0 60 443 38868 18
257 1607293080 353577 0 60 443 56328 18
258 1607293080 355580 25149 1120 443 54598 24
259 1607293080 357117 20491 83 443 37490 24
260 1607293080 358489 0 60 443 55958 18
261 1607293080 363098 25150 52 443 54598 16
262 1607293080 363378 25151 1452 443 54598 16
263 1607293080 363649 25152 4252 443 54598 16
264 1607293080 363884 25155 2852 443 54598 16
265 1607293080 364132 25157 2852 443 54598 16
266 1607293080 364393 25159 1223 443 54598 24
267 1607293080 364409 25160 1452 443 54598 16
268 1607293080 364659 25161 2852 443 54598 16
269 1607293080 364886 25163 2852 443 54598 16
270 1607293080 365133 25165 2852 443 54598 16
271 1607293080 365382 25167 2852 443 54598 16
272 1607293080 365632 25169 3858 443 54598 24
273 1607293080 365882 25172 2852 443 54598 16
274 1607293080 366134 25174 2852 443 54598 16
275 1607293080 366384 25176 2852 443 54598 16
276 1607293080 366683 25178 2852 443 54598 16
277 1607293080 366898 25180 2852 443 54598 16
278 1607293080 367139 25182 2852 443 54598 16
279 1607293080 367387 25184 4252 443 54598 16
280 1607293080 367634 25187 2852 443 54598 16
